rung,quantity,value,unit,basis,note,status
7D,five_p_enhancement_relative_to_6s,1.031,dimensionless,"the 5S half of the two-photon matrix element, normalised on the 6S rung","RELATIVE ONLY, and the upper-state element is held COMMON here BY CHOICE so the row ranks the intermediate resonance alone. It is not a transition rate and it is not the ceiling's element: two_photon_element_relative_to_6s carries both halves where this package holds them",DIAGNOSTIC
7D,alpha_5s_at_the_drive,-738.96,a.u.,rb5s6s.polarizability.alpha_5s at this rung's drive wavelength,the half of the differential polarizability this package holds for every rung,CALIB
7D,alpha_5s_at_the_drive_err,0.8911,a.u.,half the 16 to 84 band of rb5s6s.polarizability.mc_band at 400 draws,"the matrix elements, cores and tails drawn from their own quoted sigmas. Near a pole the band is asymmetric and the half-span understates the far side",DIAGNOSTIC
7D,differential_polarizability,,a.u.,no sum over states for this upper level in this repository,"empty and NULL rather than estimated: the shift coefficient is the one quantity a campaign would act on. THE ROUTE IS NOW NAMED, which it was not before 2026-09-10: Safronova and Safronova 2011 Table II carries the reduced E1 elements for these channels, so a frequency-dependent sum on NIST energies closes it, validated at zero frequency against the static row above",NULL
7D,on_axis_shift_per_watt,,MHz per W,needs the differential polarizability above,,NULL
7D,saturation_shift_ceiling_relative,,dimensionless,"needs the differential polarizability, which is empty above",empty rather than estimated: a rung ranked on part of its own element is what produced the readings A148 retired,DIAGNOSTIC
7D,rate_at_a_fixed_shift_relative,,dimensionless,"needs the differential polarizability, which is empty above",empty rather than estimated: a rung ranked on part of its own element is what produced the readings A148 retired,DIAGNOSTIC
7D,rate_at_its_own_ceiling_relative,,dimensionless,"needs the differential polarizability, which is empty above",empty rather than estimated: a rung ranked on part of its own element is what produced the readings A148 retired,DIAGNOSTIC
7D,nearest_np_gap,24.16,um,"the nearest nP level of the held ladder, as a wavelength",what couples the upper state to the cell's own thermal field,CALIB
7D,nearest_np_gap_err,0.936,um,"the term energy's error over the gap, the nP level being exact here","it is large where the gap is small, which is the high rungs",DIAGNOSTIC
7D,thermal_occupation_at_that_gap,2.959e-01,dimensionless,"1/(exp(hv/kT) - 1) at 130 C, hv/kT = 1.48",above about a per cent the thermal field moves population out of the upper state at a fair fraction of its own decay rate,CALIB
7D,thermal_occupation_at_that_gap_err,2.194e-02,dimensionless,"the occupation's own derivative in the gap, times the gap's error",the cell temperature dominates this in practice and is not in this row: ten kelvin moves the occupation by about a fifth at the high rungs,DIAGNOSTIC
7D,detection_arm,"420 nm, 6P to 5S",,the cascade this rung emits on,the 993 nm rung is the only one the bench's installed 795 nm filter already serves. A cascade identification is not a measured value,DIAGNOSTIC
9S,term_energy,30497.830,cm-1,Rydberg-Ritz from the held anchors of this series,above the 5S1/2 ground state,PRELIM
9S,drive_wavelength,655.784,nm,"two-photon, 2e7 divided by the term energy in cm-1",inside the 650 to 1050 nm band this producer covers,PRELIM
9S,term_energy_err,2.091,cm-1,"the two-fit spread on an extrapolated rung, a bound on the NIST precision on a held one","the held rows carry 0.01 cm-1, which is conservative for levels this low and is NOT a value this repository holds",DIAGNOSTIC
9S,drive_wavelength_err,0.04496,nm,"the two-fit spread and the Ritz form's own measured extrapolation error, in quadrature","on an S rung the form error comes from fitting two adjacent nP states and predicting the next two, the same lever arm. The D series cannot be tested that way here, having two anchors, so an extrapolated D rung carries the independent miss instead: E(5P3/2) plus the 5P3/2 to nD line puts 6D 0.35 nm from this ladder. Those two line wavelengths are NOT held here and the rung is owed a NIST lookup. The 4D row carries its doublet, this record not having checked the 4D J labels",DIAGNOSTIC
9S,waist_aperture_limited,41.705,um,rb5s6s.constants.waist_at_drive through the f = 150 mm singlet,"the input beam held common to every drive, which is what a hard stop at the EOM gives",CALIB
9S,waist_aperture_limited_err,5.194,um,"the input-beam regime's half-span and the reference waist's own measured band, in quadrature","the regime term is zero at the reference wavelength and dominates everywhere else, which is the point: the record does not pin the input beam (A136) and the measurement it does hold was taken at one wavelength",DIAGNOSTIC
9S,waist_resonator_mode,51.330,um,the same with the input radius going as the root of the wavelength,"the unclipped alternative. The pair brackets the regime the record does not pin (A136), and the transit ratio between rungs measures which one the bench is in",CALIB
9S,waist_resonator_mode_err,5.194,um,"the same combination, the two regimes being the ends of one band",the pair share the interval and its half-width,DIAGNOSTIC
9S,rayleigh_range,8.332,mm,"pi w0^2 over the drive wavelength, at the aperture-limited waist",it falls with the drive because the waist does,CALIB
9S,rayleigh_range_err,2.076,mm,"two powers of the waist and one of the wavelength, in quadrature",the waist term dominates by three orders,DIAGNOSTIC
9S,collection_z_ratio,0.4051,dimensionless,the bench's own collection half-length over this rung's Rayleigh range,"THE COLLECTION OPTICS ARE NOT RETUNED BY CHANGING THE DRIVE, so the half-length is the 993 nm one and only the Rayleigh range moves. The windowed third cumulant passes through zero near 1.117 and reverses beyond it",CALIB
9S,collection_z_ratio_err,0.1009,dimensionless,the inverse Rayleigh range's own relative error,"the collection half-length is held fixed by the optics, so it contributes nothing here and its own error is chapter 12's item",DIAGNOSTIC
9S,k3_sign_reversed_by_the_window,no,boolean,z_ratio against the null of the axial window,"a rung past the null reports the third cumulant with the wrong sign unless the collection window is shortened. A boolean carries no uncertainty of its own and the ratio it reads is the row above, whose error is emitted there",DIAGNOSTIC
9S,kernel_width_spread_across_the_ramp,1.079,dimensionless,"sqrt(1 + z_ratio^2), the transit width's span over the collected volume","derived in A138: at shift u the contributing slices reach sqrt(min(1+z_ratio^2, s0/u)). It is the input to the covariance that sets the third cumulant's contamination",CALIB
9S,kernel_width_spread_across_the_ramp_err,0.03788,dimensionless,the collection ratio's error carried through sqrt(1 + r^2),"it vanishes as the ratio does, which is why the wide-waist rungs carry almost none of it",DIAGNOSTIC
9S,transit_fwhm,1.4693,MHz,"ln2 v_th / (pi w0) at 130 C, aperture-limited waist","the width that carries the geometry to the FIRST power, which is how a two-drive campaign measures the input-beam regime",CALIB
9S,transit_fwhm_err,0.183,MHz,one inverse power of the waist,the cell temperature is held at its set point here and its own spread is a separate axis,DIAGNOSTIC
9S,doppler_pedestal_fwhm,1426.90,MHz,"the co-propagating component's Doppler width at 130 C, 85Rb","linear in the term energy, so the shorter drives carry the wider pedestal and the narrow line sits on a flatter background",CALIB
9S,doppler_pedestal_fwhm_err,0.09783,MHz,"linear in the term energy, so the energy's error carries straight",the temperature's own error is not in this row and would dominate it: a one kelvin drift moves the width by about a tenth of a per cent,DIAGNOSTIC
9S,static_scalar_polarizability_upper,417200,a.u.,"Safronova and Safronova 2011 Table VI, the held PDF","STATIC. Equation 8 of that paper carries no frequency, so this is NOT the differential the light shift reads at this rung's drive: at 688.6 nm the 8S to 5P denominator is -16467 cm-1 against a photon of 14523. It ranks the rungs and it closes the dynamic sum at zero frequency",CALIB
9S,static_scalar_polarizability_upper_err,2200,a.u.,the paper's own parenthesised uncertainty,"0.2 to 5 per cent depending on the state, the nd rows being the loosest",DIAGNOSTIC
9S,intermediate_detuning_5p12,-2670.0,cm-1,the 5P1/2 term energy minus half this rung's own,negative where the virtual level sits ABOVE the real state,CALIB
9S,intermediate_detuning_5p12_err,1.046,cm-1,"half the term energy's error, the 5P level being held exactly",the nP ladder is this package's own and carries no stated error on its positions,DIAGNOSTIC
9S,intermediate_detuning_5p32,-2432.4,cm-1,the same against 5P3/2,the nearer of the two on every rung above 5D,CALIB
9S,intermediate_detuning_5p32_err,1.046,cm-1,"half the term energy's error, as the row above",the same nP ladder and the same silence about its own error,DIAGNOSTIC
9S,five_p_enhancement_relative_to_6s,0.982,dimensionless,"the 5S half of the two-photon matrix element, normalised on the 6S rung","RELATIVE ONLY, and the upper-state element is held COMMON here BY CHOICE so the row ranks the intermediate resonance alone. It is not a transition rate and it is not the ceiling's element: two_photon_element_relative_to_6s carries both halves where this package holds them",DIAGNOSTIC
9S,alpha_5s_at_the_drive,-701.49,a.u.,rb5s6s.polarizability.alpha_5s at this rung's drive wavelength,the half of the differential polarizability this package holds for every rung,CALIB
9S,alpha_5s_at_the_drive_err,0.8477,a.u.,half the 16 to 84 band of rb5s6s.polarizability.mc_band at 400 draws,"the matrix elements, cores and tails drawn from their own quoted sigmas. Near a pole the band is asymmetric and the half-span understates the far side",DIAGNOSTIC
9S,differential_polarizability,,a.u.,no sum over states for this upper level in this repository,"empty and NULL rather than estimated: the shift coefficient is the one quantity a campaign would act on. THE ROUTE IS NOW NAMED, which it was not before 2026-09-10: Safronova and Safronova 2011 Table II carries the reduced E1 elements for these channels, so a frequency-dependent sum on NIST energies closes it, validated at zero frequency against the static row above",NULL
9S,on_axis_shift_per_watt,,MHz per W,needs the differential polarizability above,,NULL
9S,saturation_shift_ceiling_relative,,dimensionless,"needs the differential polarizability, which is empty above",empty rather than estimated: a rung ranked on part of its own element is what produced the readings A148 retired,DIAGNOSTIC
9S,rate_at_a_fixed_shift_relative,,dimensionless,"needs the differential polarizability, which is empty above",empty rather than estimated: a rung ranked on part of its own element is what produced the readings A148 retired,DIAGNOSTIC
9S,rate_at_its_own_ceiling_relative,,dimensionless,"needs the differential polarizability, which is empty above",empty rather than estimated: a rung ranked on part of its own element is what produced the readings A148 retired,DIAGNOSTIC
9S,nearest_np_gap,21.69,um,"the nearest nP level of the held ladder, as a wavelength",what couples the upper state to the cell's own thermal field,CALIB
9S,nearest_np_gap_err,0.09836,um,"the term energy's error over the gap, the nP level being exact here","it is large where the gap is small, which is the high rungs",DIAGNOSTIC
9S,thermal_occupation_at_that_gap,2.390e-01,dimensionless,"1/(exp(hv/kT) - 1) at 130 C, hv/kT = 1.65",above about a per cent the thermal field moves population out of the upper state at a fair fraction of its own decay rate,CALIB
9S,thermal_occupation_at_that_gap_err,2.210e-03,dimensionless,"the occupation's own derivative in the gap, times the gap's error",the cell temperature dominates this in practice and is not in this row: ten kelvin moves the occupation by about a fifth at the high rungs,DIAGNOSTIC
9S,detection_arm,"420 nm, 6P to 5S",,the cascade this rung emits on,the 993 nm rung is the only one the bench's installed 795 nm filter already serves. A cascade identification is not a measured value,DIAGNOSTIC
